
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :2;Start Time :11:55:15;Message :Record added successfully ;End Time :11:55:16;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :3;Start Time :11:55:16;Message :Record added successfully ;End Time :11:55:16;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :4;Start Time :11:55:16;Message :Record added successfully ;End Time :11:55:16;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :5;Start Time :11:55:17;Message :Record added successfully ;End Time :11:55:17;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :6;Start Time :11:55:17;Message :Record added successfully ;End Time :11:55:17;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :7;Start Time :11:55:17;Message :Record added successfully ;End Time :11:55:18;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :8;Start Time :11:55:18;Message :Record added successfully ;End Time :11:55:18;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :9;Start Time :11:55:18;Message :Record added successfully ;End Time :11:55:18;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :10;Start Time :11:55:18;Message :Record added successfully ;End Time :11:55:18;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :11;Start Time :11:55:18;Message :Record added successfully ;End Time :11:55:19;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :12;Start Time :11:55:19;Message :Record added successfully ;End Time :11:55:19;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :13;Start Time :11:55:19;Message :Record added successfully ;End Time :11:55:19;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :14;Start Time :11:55:19;Message :Record added successfully ;End Time :11:55:19;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :15;Start Time :11:55:19;Message :Record added successfully ;End Time :11:55:19;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :16;Start Time :11:55:19;Message :Record added successfully ;End Time :11:55:19;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :17;Start Time :11:55:19;Message :Record added successfully ;End Time :11:55:19;
